impl,dim,batch_size,seq_len,n_layers,n_heads,compile_s,exec_s,total_s,peak_gpu_MB,gpu_util,status
eager,2048,8,400,4,4,0.0000,1.3144,1.3144,1528.1,69.5,success
eager,128,8,400,6,4,0.0000,0.9435,0.9435,67.6,23.8,success
eager,256,8,400,6,4,0.0000,0.9471,0.9471,133.6,28.3,success
eager,512,8,400,6,4,0.0000,1.0022,1.0022,293.9,37.6,success
eager,1024,8,400,6,4,0.0000,1.0935,1.0935,736.7,56.9,success
eager,2048,8,400,6,4,0.0000,1.7179,1.7179,2024.2,80.0,success
eager,128,8,400,8,4,0.0000,1.1658,1.1658,75.9,26.2,success
eager,256,8,400,8,4,0.0000,1.1960,1.1960,152.6,31.9,success
eager,512,8,400,8,4,0.0000,1.2259,1.2259,344.9,40.3,success
eager,1024,8,400,8,4,0.0000,1.2977,1.2977,890.7,63.3,success
eager,2048,8,400,8,4,0.0000,2.1282,2.1282,2520.2,84.1,success
eager,128,8,400,10,4,0.0000,1.3957,1.3957,84.1,28.2,success
eager,256,8,400,10,4,0.0000,1.3760,1.3760,171.6,34.8,success
eager,512,8,400,10,4,0.0000,1.4071,1.4071,395.9,47.8,success
eager,1024,8,400,10,4,0.0000,1.5297,1.5297,1044.7,67.6,success
eager,2048,8,400,10,4,0.0000,2.5300,2.5300,3016.2,85.1,success
eager,128,8,400,12,4,0.0000,1.5379,1.5379,92.4,30.1,success
eager,256,8,400,12,4,0.0000,1.5641,1.5641,190.6,34.6,success
eager,512,8,400,12,4,0.0000,1.6359,1.6359,446.9,45.5,success
eager,1024,8,400,12,4,0.0000,1.7547,1.7547,1198.7,71.7,success
eager,2048,8,400,12,4,0.0000,2.9504,2.9504,3512.2,90.1,success
eager,128,8,800,4,4,0.0000,1.2738,1.2738,73.6,28.3,success
eager,256,8,800,4,4,0.0000,1.2797,1.2797,142.9,36.8,success
eager,512,8,800,4,4,0.0000,1.3901,1.3901,299.6,49.2,success
eager,1024,8,800,4,4,0.0000,1.5974,1.5974,704.0,70.3,success
eager,2048,8,800,4,4,0.0000,2.7188,2.7188,1746.8,87.5,success
eager,128,8,800,6,4,0.0000,1.6173,1.6173,88.1,33.9,success
eager,256,8,800,6,4,0.0000,1.6290,1.6290,174.4,39.2,success
eager,512,8,800,6,4,0.0000,1.7421,1.7421,375.6,54.3,success
eager,1024,8,800,6,4,0.0000,2.1431,2.1431,912.0,78.2,success
eager,2048,8,800,6,4,0.0000,3.7154,3.7154,2338.9,89.0,success
eager,128,8,800,8,4,0.0000,2.0623,2.0623,102.6,35.4,success
eager,256,8,800,8,4,0.0000,2.0565,2.0565,206.0,41.6,success
eager,512,8,800,8,4,0.0000,2.2090,2.2090,451.6,57.5,success
eager,1024,8,800,8,4,0.0000,2.6408,2.6408,1120.0,81.8,success
eager,2048,8,800,8,4,0.0000,4.7677,4.7677,2930.9,91.5,success
eager,128,8,800,10,4,0.0000,2.4430,2.4430,117.1,36.5,success
eager,256,8,800,10,4,0.0000,2.5038,2.5038,237.5,42.3,success
eager,512,8,800,10,4,0.0000,2.5805,2.5805,527.7,58.2,success
eager,1024,8,800,10,4,0.0000,3.1188,3.1188,1328.1,83.2,success
eager,2048,8,800,10,4,0.0000,5.7365,5.7365,3522.9,92.9,success
eager,128,8,800,12,4,0.0000,2.8710,2.8710,131.6,36.8,success
eager,256,8,800,12,4,0.0000,2.8778,2.8778,269.0,43.5,success
eager,512,8,800,12,4,0.0000,3.0585,3.0585,603.7,60.9,success
eager,1024,8,800,12,4,0.0000,3.6329,3.6329,1536.1,84.6,success
eager,2048,8,800,12,4,0.0000,6.7564,6.7564,4115.0,94.0,success
eager,128,8,1600,4,4,0.0000,2.2041,2.2041,102.1,38.5,success
eager,256,8,1600,4,4,0.0000,2.2902,2.2902,199.7,49.3,success
eager,512,8,1600,4,4,0.0000,2.5045,2.5045,421.5,67.3,success
eager,1024,8,1600,4,4,0.0000,3.6742,3.6742,922.8,84.4,success
eager,2048,8,1600,4,4,0.0000,6.6254,6.6254,2200.1,93.3,success
eager,128,8,1600,6,4,0.0000,3.0664,3.0664,129.1,40.5,success
eager,256,8,1600,6,4,0.0000,3.0129,3.0129,256.2,53.6,success
eager,512,8,1600,6,4,0.0000,3.3881,3.3881,551.5,72.2,success
eager,1024,8,1600,6,4,0.0000,5.0051,5.0051,1226.8,88.1,success
eager,2048,8,1600,6,4,0.0000,9.3829,9.3829,2992.1,96.0,success
eager,128,8,1600,8,4,0.0000,3.7685,3.7685,156.1,42.6,success
eager,256,8,1600,8,4,0.0000,3.9168,3.9168,312.7,54.0,success
eager,512,8,1600,8,4,0.0000,4.2977,4.2977,681.5,75.7,success
eager,1024,8,1600,8,4,0.0000,6.3169,6.3169,1530.8,91.2,success
eager,2048,8,1600,8,4,0.0000,12.1728,12.1728,3784.2,96.0,success
eager,128,8,1600,10,4,0.0000,4.6111,4.6111,183.1,42.7,success
eager,256,8,1600,10,4,0.0000,4.6817,4.6817,369.2,55.0,success
eager,512,8,1600,10,4,0.0000,5.1706,5.1706,811.5,76.1,success
eager,1024,8,1600,10,4,0.0000,7.6849,7.6849,1834.8,92.2,success
eager,2048,8,1600,10,4,0.0000,14.9687,14.9687,4576.2,96.8,success
eager,128,8,1600,12,4,0.0000,5.9578,5.9578,210.1,39.9,success
eager,256,8,1600,12,4,0.0000,5.5509,5.5509,425.8,55.5,success
eager,512,8,1600,12,4,0.0000,6.6062,6.6062,941.5,71.4,success
eager,1024,8,1600,12,4,0.0000,9.4497,9.4497,2138.8,89.3,success
eager,2048,8,1600,12,4,0.0000,17.7579,17.7579,5368.2,97.3,success
eager,128,16,100,4,4,0.0000,0.5704,0.5704,54.3,9.5,success
